voiture,prix-dh,lieu,kilometrage,annee-pub,boite-vitesses,carburant,date,puissance-fiscale,vehicule-dedouane,description,lien,nombre-portes,premiere-main,importe-neuf,carrosserie,couleur,vehicule-garantie,voiture_personnalisee
MERCEDES 180,75 000 Dhs,Nador,270 000,2008,Manuelle,Diesel,07-03-2024,8.0,5.0,Cc,n/d,0.0,Voiture a vendre,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449052/mercedes-180-b.html,n/d,Noir,3 Mois,Oui
HYUNDAI Grand i10,135 000 Dhs,Tanger,24 000,2023,Automatique,Essence,07-03-2024,6.0,5.0,n/d,Oui,2023.0,"Derkaoui automotive s’occupe de la vente pour le compte de sa cliente, d’une -

hyundai i10 nouveau modèle | automatique | 2023 | 20.000 km |

détails:

année – 01/2023
kilométrage – 25.000 km certifié 
version – attractive at
motorisation – 1.0 mpi l 67
première main - oui
garantie - 3 mois

essai du véhicule sur rendez-vous. merci de nous prévenir avant votre passage pour être sûr de notre présence au showroom.

derkaoui automotive
agence d’intermediation",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442448/hyundai-grand-i10-.html,n/d,n/d,Non,n/d
PEUGEOT 208,162 000 Dhs,Tanger,54 000,2022,Manuelle,Diesel,07-03-2024,6.0,5.0,n/d,Oui,2022.0,"Derkaoui automotive s’occupe de la vente pour le compte de son client, d’une -

peugeot **** hdi 92 | active pack | 2022 | 50.000 km |

détails:

année – 2022
kilométrage – 50.000 km
version – active pack
motorisation – 1.6 hdi 92

garantie - 6 mois

prix – 162.000 dh

options –

ordinateur de bord
régulateur de vitesse
Éclairage automatique
détecteur de pluie
retros électriques rabattable
phares full led
radar de recul
jante aluminium 16 pouces
appel carplay …

essai du véhicule sur rendez-vous. merci de nous prévenir avant votre passage pour être sûr de notre présence au showroom.

derkaoui automotive",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442456/peugeot-208-.html,n/d,n/d,Non,n/d
PEUGEOT 2008,218 000 Dhs,Tanger,109 000,2021,Automatique,Diesel,07-03-2024,6.0,5.0,n/d,n/d,2021.0,"Derkaoui automotive s’occupe de la vente pour le compte de son client, d’une -

peugeot 2008 active 1.5 bleuhdi 130 eat8 | 2021 | 100.000 km | automatique diesel 

détails :

année - 05/2021
kilométrage **** km réel 
version - active automatique 
motorisation - 1.5 bluehdi 130
boîte à vitesse - automatique 8 rapports 

prix **** dh - légèrement négociable 

la voiture est visible au garage parking derkaoui.
essai du véhicule sur rendez-vous
merci de nous prévenir avant votre passage pour être sûr de notre présence au garage.

derkaoui automotive - agence d’intermédiation",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442467/peugeot-2008-.html,n/d,n/d,Non,n/d
NISSAN Qashqai,255 000 Dhs,Tanger,54 000,2022,Automatique,Essence,07-03-2024,8.0,5.0,n/d,Oui,2022.0,"Derkaoui automotive s’occupe de la vente pour le compte de sa cliente, d’une -

nissan qashqai n-connecta bi-ton | première main | 2022 | 50.000 km | 1.3 l dig-t 150 cvt

détails:

année – 04/2022
kilométrage – 50.000 km certifié 
version – n-connecta bi-ton
motorisation – 1.3 l dig-t 150 cvt
première main - oui
garantie - 1 an (constructeur)

véhicule première main en excellent état, entretien chez autohall
 
options –

chargeur smartphone sans file .
frein a main electrique avec option autohold.
clé main libre intelligent key .
d-mode ( sport eco normal).
coffre Électrique avec commande à pieds.
carrosserie bi-ton .
régulateur de vitesse.
jantes alu 18 diamond cut.
camera de parking 360.

assistance feux de route.
line assiste.
avertissement prédictif de collision frontale.
freinage d'urgence avant.

essai du véhicule sur rendez-vous. merci de nous prévenir avant votre passage pour être sûr de notre présence au showroom.

derkaoui automotive
agence d’intermediation",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442468/nissan-qashqai-.html,n/d,n/d,Non,n/d
RENAULT Megane,195 000 Dhs,Tanger,60 000,2021,Manuelle,Diesel,07-03-2024,6.0,5.0,Compact,Oui,0.0,"Renault megane 1.5 dci 115 equilibre bvm | 2021 | 60.000 kmdétails:année – 09/2021kilométrage – 60.000 km réel certifiéversion – Équilibre bvmmotorisation – 1.5 dci 115garantie – 3 moisprix – 195.000 dhoptions –détection de pression des pneusclimatisation automatique bi-zonerétroviseur Électrique rabatableordinateur de bord avec écran tft 4,2 »Éclairage automatiquedétecteur de pluiephares full ledrégulateur de vitesseaide au parking arrièregrille de calandre noir brillant et chromedémarrage startcarte main librela voiture est visible au garage parking derkaoui.essai du véhicule sur rendez-vous. merci de nous prévenir avant votre passage pour être sûr de notre présence au showroom.derkaoui automotivetanger",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447123/renault-megane-equilibre-bvm.html,n/d,Gris fonce,6 Mois,n/d
VOLVO Xc90,420 000 Dhs,Casablanca,54 000,2020,Automatique,Diesel,07-03-2024,8.0,5.0,n/d,Oui,2020.0,Volvo xc90 2020 diesel 8cv 50000km,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448005/volvo-xc90-.html,n/d,n/d,Non,n/d
DACIA Sandero,162 000 Dhs,Casablanca,4 000,2023,Manuelle,Diesel,07-03-2024,6.0,5.0,n/d,Oui,2023.0,Dacia sandero 5/2023 diesel 6cv 1500km,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448006/dacia-sandero-.html,n/d,n/d,Non,n/d
SKODA Kodiaq,305 000 Dhs,Casablanca,109 000,2020,Automatique,Diesel,07-03-2024,8.0,5.0,n/d,Oui,2020.0,Skoda kodiak 2020 diesel 8cv 100000km première main,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448007/skoda-kodiaq-.html,n/d,n/d,Non,n/d
FIAT Panda,76 000 Dhs,Casablanca,74 000,2018,Manuelle,Essence,07-03-2024,6.0,5.0,n/d,Oui,2018.0,Fiat panda 2018 essence 6cv 76000km,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448008/fiat-panda-.html,n/d,n/d,Non,n/d
VOLVO Xc90,260 000 Dhs,Casablanca,199 000,2016,Automatique,Diesel,07-03-2024,8.0,5.0,n/d,Oui,2016.0,Volvo xc90 2016 diesel 8cv 200000km,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448009/volvo-xc90-.html,n/d,n/d,Non,n/d
DACIA Sandero stepway,140 000 Dhs,Casablanca,64 000,2022,n/d,Diesel,07-03-2024,0.0,0,n/d,n/d,2022.0,dacia sandero 1.5 dCi 95 Stepway Essentiel Gen.III Ph1,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442122/dacia-sandero-stepway-.html,n/d,n/d,Non,n/d
DACIA Sandero stepway,140 000 Dhs,Casablanca,49 000,2022,n/d,Diesel,07-03-2024,0.0,0,n/d,n/d,2022.0,dacia sandero 1.5 dCi 102 Stepway Essentiel Gen.III Ph1,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442123/dacia-sandero-stepway-.html,n/d,n/d,Non,n/d
RENAULT Megane sedan,190 000 Dhs,Casablanca,49 000,2020,n/d,Diesel,07-03-2024,0.0,0,n/d,n/d,2020.0,renault megane-sedan 1.5 dCi 110 Intens EDC6 Gen.IV Ph1,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442105/renault-megane-sedan-.html,n/d,n/d,Non,n/d
RENAULT Clio,160 000 Dhs,Casablanca,69 000,2022,n/d,Diesel,07-03-2024,0.0,0,n/d,n/d,2022.0,renault clio 1.5 dCi 115 Equilibre,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442107/renault-clio-.html,n/d,n/d,Non,n/d
CITROEN C3 pluriel,150 000 Dhs,Casablanca,89 000,2020,n/d,Diesel,07-03-2024,0.0,0,n/d,n/d,2020.0,citroen c3 1.6 HDi 92 Feel Gen.III Ph1,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442109/citroen-c3-pluriel-.html,n/d,n/d,Non,n/d
HYUNDAI Tucson,365 000 Dhs,Casablanca,24 000,2022,Automatique,Diesel,07-03-2024,6.0,0,n/d,n/d,2022.0,"Global occaz vous propose un véhicule sûr, répondant à toutes vos exigences et réunissant nouveauté, confort & sécurité.
marque hyundai  
modèle tucson 
date de mise en circulation 2022
puissance fiscale 06 cv
boite à vitesse automatique   
energie diesel  
kilométrage  21 840",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447493/hyundai-tucson-.html,n/d,n/d,Non,n/d
HYUNDAI Elantra,140 000 Dhs,Casablanca,109 000,2014,Manuelle,Diesel,07-03-2024,6.0,5.0,n/d,Oui,2014.0,"Global occaz vous propose un véhicule sûr, répondant à toutes vos exigences et réunissant : nouveauté, confort & sécurité.

marque hyundai
modèle elantra 1.6 crdi
date de mise en circulation 2014
puissance fiscale 6 cv
energie diesel
boite à vitesse manuelle
kilométrage **** kms",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/398609/hyundai-elantra-.html,n/d,n/d,Non,n/d
DS Ds4 crossback,320 000 Dhs,Casablanca,9 000,2023,Automatique,Diesel,07-03-2024,6.0,0,n/d,n/d,2023.0,"Global occaz vous propose un véhicule sûr, répondant à toutes vos exigences et réunissant nouveauté, confort & sécurité.
marque ds
modèle ds 4 
date de mise en circulation 2023
puissance fiscale 06 cv
boite à vitesse automatique 
energie diesel 
kilométrage 8875",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/432704/ds-ds4-crossback-.html,n/d,n/d,Non,n/d
HYUNDAI Santa fe,300 000 Dhs,Casablanca,129 000,2020,Automatique,Diesel,07-03-2024,9.0,0,n/d,n/d,2020.0,"Global occaz vous propose un véhicule sûr, répondant à toutes vos exigences et réunissant nouveauté, confort & sécurité.
marque hyundai    
modèle santa fe 
date de mise en circulation 2020
puissance fiscale 09cv
boite à vitesse automatique 
energie diesel 
kilométrage 129 248",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/436297/hyundai-santa-fe-.html,n/d,n/d,Non,n/d
VOLKSWAGEN Golf 7,280 000 Dhs,Nador,179 000,2017,Automatique,Diesel,07-03-2024,8.0,5.0,n/d,n/d,2017.0,"#je mets en vente une golf 7,5 gtd model 2017 diwana 2018
183000km ,full options . disponible a nador",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/418887/volkswagen-golf-7-.html,n/d,n/d,Non,n/d
OPEL Crossland,174 000 Dhs,Tanger,84 000,2021,Manuelle,Diesel,07-03-2024,6.0,5.0,Crossover,Oui,2021.0,"La trÈs pratique opel crossland 1.5 cdti 120 ÉlÉgance diesel 6cv de 1Ère main modÈle 6/2021 toujours sous garantie jusqu'en 6/2024 et entretenue chez opel, en parfait État et toutes options. salon en semi cuir, siÈges sport a Élevation Électrique et soutien de genou ajustable, climatisation automatique digitale, volant sport multifonctions, systÈme android, apple carplay, radio mp3 avec ecran tactile, fiche aux et prise usb, tÉlephone bluetooth, audio streaming, jantes en aluminium 16'x, opel eye, lecture de panneaux de signalisation, lane assist, alerte de maintien de voie, rÉgulateur/limiteur de vitesse, contrÔle de pression de pneus, feux de jour leds, allumage automatique des feux, projecteurs full led, essuie glace automatique, ordinateur de bord, finition chrome, rÉtroviseurs Électriques, vitres teintÉes, 4xvitres Électriques, airbags, abs, esp, ebd, follow me home, aide au dÉmarrage en cÔte, direction assistÉe, accoudoirs centraux av/ar, cache bagages,... vignette 700dhs/an",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/424752/opel-crossland-15-cdti-toutes-options.html,n/d,Blanc,3 Mois,n/d
VOLKSWAGEN Tiguan,238 000 Dhs,Tanger,190 000,2015,Automatique,Diesel,07-03-2024,8.0,5.0,Suv et 4x4,n/d,2018.0,"<svg class=''av-icon'' height=''19'' width=''19'' viewbox='' **** '' xmlns=''---'' aria-labelledby=''phonetitleid'' style=''fill: rgb(41, 161, 96); stroke: rgb(41, 161, 96); stroke-width: 0;''></svg>l'exceptionelle volkswagen tiguan 2.0 tdi 150 lounge premium avec boite automatique dsg diesel 8cv en parfait État, modÈle 2015 et dedouanÉe en 2018, toutes options. double toit ouvrant panoramique, coupe-vent, systÈme start/stop, hill assist, jantes en aluminium 17'', radars de stationnement avant et arriÈre, stationnement automatique, camÉra de recul, pack assistance, lane assist, alerte de dÉpassement de ligne, sign assist, lecture de panneaux de signalisation, dÉtection de sous-gonflage des pneus, dÉtecteur de fatigue, assistant de sortie de parking, park pilot, systÈme multimÉdia, lecteur dvd, navigation gps, grand ecran tactile, prises aux/usb, radio mp3, tÉlÉphone bluetooth, audio streaming, jukebox disque dur, lecteurs 2 carte sd, pack connectivitÉ, systÈme carnet, android auto et apple carplay avec activation, connexion wifi, salon sport, siÈges chauffants, volant sport en cuir, volant multifonctions avec palettes au volant, plafond en noir, feux bi-xÉnon directionnels, dynamic light, feux de jour a leds, lave-phares, Éclairage adaptatif, feux anti-brouillards, feux de route auto, rÉtroviseurs rabattables Électriques et anti Éblouissement, climatisation automatique digitale bi-zones, rÉgulateur/limiteur de vitesse, ordinateur de bord en couleur, 4xvitres Électriques teintÉes, tablettes aviation, alarme, abs, esp, airbags, finition chrome, allumage automatique des feux, essuie glace automatique, frein automatique, hill assist, auto-hold, accoudoir central av/ar, barres de toit chromÉes, attache remorque Électrique, jamais accidentÉe... vignette 1500dhs/an",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447290/volkswagen-tiguan-.html,n/d,Noir,Non,Oui
